,﻿Status,Opp Type,Opp ID,Program Name,Acronym,Organization Level 1,Organization Level 2,Solicitation Number,Value (USD-$K),Summary,Contract Value,NAICS,Classification Code (SAM),Solicitation Date,Solicitation Date (Actual/Estimate),Projected Award Date,Response Date
0,Forecast Pre-RFP,Tracked Opportunities,231805,SYSTEMS ADMINISTRATION AND NETWORK TECH SUPPORT,,AIR FORCE,US SPACE FORCE,,798,"The US Space Force, Space Systems Command, may have a continuing requirement for the Systems Administration & Network Technical Support.",798,541513 - Computer Facilities Management Services,,02/2026,(Deltek Estimate),09/2026,
1,Pre-RFP,Tracked Opportunities,230460,LAW ENFORCEMENT RECORDS MANAGEMENT SYSTEM,,INTERIOR,,140D0424R0004,"100,000",The Department of Interior has a requirement for for a new operational law enforcement records management system (RMS) that would be able to provide RMS functionality for the Department of the Interior’s Office (DOI) of Law Enforcement and Security (OLES).,,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,02/2024,(Deltek Estimate),05/2024,
2,Source Selection,Tracked Opportunities,227304,JSP AUDIO VIDEO VIDEO TELECONFERENCE SUPPORT SERVICES (AV/VTC),AV/VTC,DEFENSE,DEFENSE INFORMATION SYSTEMS AGENCY,832366327,"100,000","The Department of Defense (DoD), Defense Information Systems Agency (DISA), has a continuing requirement for Joint Service Provider (JSP) Audio-Visual/Video Conference (AV/VTC) Support Services.",103378,541513 - Computer Facilities Management Services,,01/2024,(Deltek Estimate),09/2024,01/29/2024
3,Pre-RFP,Tracked Opportunities,236963,FLANK SPEED SUPPORT SERVICE,,NAVY,NAVAL SUPPLY SYSTEMS COMMAND,N0018924R0005,TBD,"The Department of the Navy, Naval Supply Systems Command, Fleet Logistics Center Norfolk, has a requirement for Flank Speed Support Service.",0,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,02/2024,(Deltek Estimate),08/11/2024,
4,Pre-RFP,Tracked Opportunities,231828,BUILDING CONTROL SYSTEM UCS SCADA ICONICS SUSTAINMENT SUPPORT OPERATIONAL TECHNICAL SUPPORT CORRECTIVE MAINTENANCE AND CYBERSECURITY SUPPORT,,NAVY,NAVAL FACILITIES ENGINEERING SYSTEMS COMMAND,N4008523R2731,TBD,"The Department of the Navy,  Naval Facilities Engineering Systems Command, NAVFAC Mid-Atlantic, has a requirement for Building Control System (BCS) & UCS SCADA (ICONICS) Sustainment Support Operational Technical Support (OTS), Corrective Maintenance (CM) & Cybersecurity Support.",,541513 - Computer Facilities Management Services,,03/2024,(Deltek Estimate),08/2024,
5,Source Selection,Tracked Opportunities,223813,SECURITY SYSTEMS ASSESSMENTS,,TRANSPORTATION,FEDERAL AVIATION ADMINISTRATION,C3SecuritySystems,TBD,"The Department of Transportation, Federal Aviation Administration, Command and Control Communications Division, has a requirement for Enterprise Security Assessment and Support Services.",,"541519 - Other Computer Related Services, 541513 - Computer Facilities Management Services",,05/2023,(Deltek Estimate),05/2024,
6,Pre-RFP,Tracked Opportunities,239259,ENTERPRISE INFRASTRUCTURE OPERATIONS SUPPORT SERVICES II (EIOSS II),EIOSS II,HOMELAND SECURITY,US CITIZENSHIP AND IMMIGRATION SERVICES,,"63,172","The Department of Homeland Security, US Citizenship and Immigration Services, Office of the Information Technology has an ongoing requirement for Enterprise Infrastructure Operations Support Services (EIOSS), formerly known as SPEDI.","219237, 62602",541513 - Computer Facilities Management Services,,08/2025,(Deltek Estimate),03/2026,
7,Pre-RFP,Tracked Opportunities,239081,NOAA FIRE WEATHER,,COMMERCE,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,NOAANESDISSAEFIREWEATHERQ12024,TBD,"The U.S. Department of Commerce, National Oceanic and Atmospheric Administration (NOAA) has a requirement for capabilities that will aid in fire weather forecasting, detection and monitoring of wildland fires, coupled fire-weather forecasting, and post-fire vegetation recovery.",,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,04/2024,(Deltek Estimate),07/2024,
8,Pre-RFP,Tracked Opportunities,239252,NWS COMMERCIAL AIRCRAFT BASED OBSERVATIONS DATA BUY SUPPORT,,COMMERCE,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,ACQAONCA0110240029,TBD,"The U.S. Department of Commerce, National Oceanic and Atmospheric Administration (NOAA) has a requirement for an aircraft-based observations from major commercial airlines in support of the National Weather Service. The objective is to acquire atmospheric observations from commercial aircraft operated by major commercial airlines, leading to the improved skill of Numerical Weather Prediction and other operational applications, for the prediction of thunderstorms, flash floods, hail, tornadoes, clouds, and other sensible weather phenomena.",,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,04/2024,(Deltek Estimate),08/2024,
9,Pre-RFP,Tracked Opportunities,238046,INFORMATION TECHNOLOGY USER AND FIELD OPERATIONS SUPPORT II (NEON II),NEON II,HOMELAND SECURITY,US CITIZENSHIP AND IMMIGRATION SERVICES,70SBUR24I00000009,"170,885","The Department of Homeland Security, US Citizenship and Immigration Services has a continuing requirement for Information Technology User and Field Operations Support (NEON) II.",170885,541513 - Computer Facilities Management Services,,04/2025,(Deltek Estimate),12/2025,
10,Pre-RFP,Tracked Opportunities,236975,COMMERCIAL REMOTE SENSING REGULATORY AFFAIRS LICENSING SYSTEM (CRSRA),CRSRA,COMMERCE,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,,TBD,"The U.S. Department of Commerce, National Oceanic and Atmospheric Administration (NOAA) has a requirement for a licensing system that unifies self-service capabilities and automated or semi-automated licensing process workflows with records management and analysis functions.",,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,03/2024,(Deltek Estimate),06/2024,
11,Forecast Pre-RFP,Tracked Opportunities,228306,ENVIRONMENTAL INFORMATION TECHNOLOGY MANAGEMENT PROGRAM SERVICES (EITM),EITM,ARMY,SECRETARY OF THE ARMY,,"31,657","The Department of the Army, Office of the Assistant Secretary of the Army, Installations, Energy and Environment (OASA-IE&E), has a requirement for Environmental Information Technology Management (EITM) Program Support Services.",31657,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,08/2024,(Deltek Estimate),12/2024,
12,Pre-RFP,Tracked Opportunities,211675,COLOCATION DATA CENTER SOLUTIONS CLOUD SERVICES,,HEALTH AND HUMAN SERVICES,NATIONAL INSTITUTES OF HEALTH,75N97022R00002,TBD,"The US Department of Health and Human Services, National Institutes of Health no longer has a requirement for contractor to describe their products, services, technical capabilities and demonstrated experience with provisioning a Colocation Data Center, Cloud solutions, and build out the physical infrastructure for the NIH Colocation Data Center Solutions and Cloud Services.",,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,04/2024,(Deltek Estimate),08/2024,
13,Pre-RFP,Tracked Opportunities,238352,FY24 NOAA COMMERCIAL SATELLITE DATA GENERAL,,COMMERCE,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,NEEPFY24CSDGRFI,TBD,"The U.S. Department of Commerce, National Oceanic and Atmospheric Administration (NOAA) has a requirement for commercial space-based environmental observation capabilities (including Weather and Space Environmental Data).",,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,04/2024,(Deltek Estimate),07/2024,
14,Forecast Pre-RFP,Tracked Opportunities,209681,IT SUPPORT SERVICES JOINT BASE LEWIS MCCHORD,,ARMY,ARMY MATERIEL COMMAND,,"7,633","The Department of the Army, Army Installation Management Command, Joint Base Lewis-McChord Directorate of Public Works, may have a continuing requirement for Information Technology & Support Services.",7633,541513 - Computer Facilities Management Services,,08/2024,(Deltek Estimate),12/2024,
15,Pre-RFP,Tracked Opportunities,206720,IT ENTERPRISE ENGINEERING OPERATIONS AND HOSTING SUPPORT SERVICES,,NAVY,NAVAL AIR SYSTEMS COMMAND,N0042124R0009,"500,000","The Department of the Navy, Naval Air Systems Command (NAVAIR), has a continuing requirement for Full Spectrum Information Technology (IT), Engineering, and Management Support Services for the RDT&E Infrastructure Division (AIR-5.4.1).","101231, 157173",541513 - Computer Facilities Management Services,,03/2024,(Deltek Estimate),09/2024,
16,Pre-RFP,Tracked Opportunities,238688,COMMANDER NAVAL AIR FORCE RESERVE MISSION PLANNING AND C37 DISPATCH SUPPORT SERVICES,,NAVY,NAVAL SUPPLY SYSTEMS COMMAND,N0018924RZ029,TBD,"The Department of the Navy, Naval Supply Systems Command, Fleet Logistics Center Norfolk, has a requirement for Commander, Naval Air Force Reserve (CNAFR) Mission Planning And C-37 Dispatch Support Services.",,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,06/2024,(Deltek Estimate),12/2024,
17,Pre-RFP,Tracked Opportunities,236354,DISASTER RECOVERY SERVICES,,INTERIOR,OFFICE OF THE CHIEF INFORMATION OFFICER,140D0424Q0033,TBD,"The U.S. Department of the Interior, Office of the Chief Information Officer (OCIO) has a requirement for Disaster Recovery Services.",,541513 - Computer Facilities Management Services,,03/2024,(Deltek Estimate),06/2024,
18,Pre-RFP,Tracked Opportunities,237509,PURCHASE OF CLOUD COMPUTING PRICE INDEXES DATA,,COMMERCE,ECONOMICS AND STATISTICS ADMINISTRATION,BABC13212400031,38,"The U.S. Department of Commerce, Bureau of Economic Analysis (BEA) has a requirement to purchase Data for Cloud Computing Price Indexes.",38,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,02/2024,(Deltek Estimate),05/2024,
19,Forecast Pre-RFP,Tracked Opportunities,195620,TECHNOLOGY TRANSFER AND INTELLECTUAL PROPERTY DATABASE FORT DETRICK (T2),T2,ARMY,ARMY FUTURES COMMAND,,"1,980","The Department of the Army, Army Medical Command, Army Medical Research & Materiel Command, Office of the Staff Judge Advocate (OSJA) Agency may have a continuing requirement for a new web-based commercial database system to track all Intellectual Property (IP), Technology Transfer (T2) agreements, and to provide reports and metrics to the Department of Army, the Office of the Secretary of Defense and Congress.",1980,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,04/2024,(Deltek Estimate),07/2024,
20,Forecast Pre-RFP,Tracked Opportunities,220021,PRE EMPLOYMENT SCREENING PROGRAM PSP SUPPORT AND SERVICES (PSP),PSP,TRANSPORTATION,FEDERAL MOTOR CARRIER SAFETY ADMINISTRATION,,TBD,"The Department of Transportation, Federal Motor Carrier Safety Administration (FMCSA) may have a continuing requirement for Pre-Employment Screening Program (PSP) Support and Services.",0,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,01/2026,(Deltek Estimate),05/2026,
